hapiCreationLimitsPercentUsed:,instantaneous % used in HAPI CreationLimits throttle bucket,
hapiFreeQueryLimitsPercentUsed:,instantaneous % used in HAPI FreeQueryLimits throttle bucket,
hapiGasPercentUsed:,instantaneous % used in HAPI Gas throttle bucket,
hapiOffHeapQueryLimitsPercentUsed:,instantaneous % used in HAPI OffHeapQueryLimits throttle bucket,
hapiThroughputLimitsPercentUsed:,instantaneous % used in HAPI ThroughputLimits throttle bucket,
hashQueueSizeRecordStream:,size of working queue for calculating hash and runningHash,
internalHashFileCount_fileStore:,The number of files in the internal Hashes Store for fileStore for the last call to doMerge() or saveRecords().,
internalHashFileCount_smartContractIterableKvStore:,The number of files in the internal Hashes Store for smartContractIterableKvStore for the last call to doMerge() or saveRecords().,
internalHashFileSizeMb_fileStore:,The total files size (in megabytes) of files in the internal Hashes Store for fileStore for the last call to doMerge() or saveRecords().,
internalHashFileSizeMb_smartContractIterableKvStore:,The total files size (in megabytes) of files in the internal Hashes Store for smartContractIterableKvStore for the last call to doMerge() or saveRecords().,
internalHashLargeMergeTime_fileStore:,The time (in seconds) of the last Large Merge call in the internal Hashes Store for fileStore for the last call to doMerge().,
internalHashLargeMergeTime_smartContractIterableKvStore:,The time (in seconds) of the last Large Merge call in the internal Hashes Store for smartContractIterableKvStore for the last call to doMerge().,
internalHashMediumMergeTime_fileStore:,The time (in seconds) of the last Medium Merge call in the internal Hashes Store for fileStore for the last call to doMerge().,
internalHashMediumMergeTime_smartContractIterableKvStore:,The time (in seconds) of the last Medium Merge call in the internal Hashes Store for smartContractIterableKvStore for the last call to doMerge().,
internalHashSmallMergeTime_fileStore:,The time (in seconds) of the last Small Merge call in the internal Hashes Store for fileStore for the last call to doMerge().,
internalHashSmallMergeTime_smartContractIterableKvStore:,The time (in seconds) of the last Small Merge call in the internal Hashes Store for smartContractIterableKvStore for the last call to doMerge().,
internalNodeReads/s_fileStore:,number of internal node reads per second for fileStore,
internalNodeReads/s_smartContractIterableKvStore:,number of internal node reads per second for smartContractIterableKvStore,
internalNodeWrites/s_fileStore:,number of internal node writes per second for fileStore,
internalNodeWrites/s_smartContractIterableKvStore:,number of internal node writes per second for smartContractIterableKvStore,
jpdb_count:,the number of JPDB instances that have been created but not released,
leafByKeyReads/s_fileStore:,number of leaf by key reads per second for fileStore,
leafByKeyReads/s_smartContractIterableKvStore:,number of leaf by key reads per second for smartContractIterableKvStore,
leafByPathReads/s_fileStore:,number of leaf by path reads per second for fileStore,
